,index,tweet_id
0,55,1255263076087185413
1,55,1254390256461365248
5,55,1251163393790099457
9,55,1250166483570905088
10,55,1250153305524834309
12,55,1250145131321311232
15,55,1250142746389540864
17,55,1250109734578827264
21,55,1250021999025565696
23,55,1250005501347352576
24,55,1249812929245044736
27,55,1249740658744557569
28,55,1249720763785109504
33,55,1249477334543093766
34,55,1249439553343172610
35,55,1249418675251113985
37,55,1249416078410895361
39,55,1249411295377416192
40,55,1249410487542001665
41,55,1249410299884711936
46,55,1249397211273875462
48,55,1249392791219851264
53,55,1249369470507892736
55,55,1249367725773746177
61,55,1249234690554331136
62,55,1249211245623783424
64,55,1249178858374533120
65,55,1249178669056131073
67,55,1249172530272899075
68,55,1249155244489129984
70,55,1249018981186293760
71,531,1237903474475622400
72,531,1234461445020176385
73,124,1249489006124990471
76,124,1248596379909402626
77,124,1248582228478693377
82,124,1248318630842040331
83,124,1248282037506760704
84,124,1248274578683682822
89,124,1248207920602456064
91,124,1248199567562223619
94,124,1248120246939992064
98,124,1247951177896955904
101,124,1247918732351016966
103,124,1247908666839191552
104,124,1247886013105504259
105,124,1247885363890143232
107,124,1247869290117824512
110,1,1252682858948419584
111,245,1244491711302205442
112,245,1244313444226138117
114,245,1242555845302464514
115,466,1255512928184406018
116,466,1255248309767278592
118,466,1253825833619292164
119,466,1253794268487061517
120,466,1251552537100128257
121,466,1249336674120880128
123,466,1247511461426909190
124,466,1247501664556179456
126,466,1246915315252027393
129,466,1246361287887654912
131,466,1244710267285618688
133,466,1244599976401031171
134,466,1244394425490563073
135,466,1244321753725169664
136,466,1244311922536783873
137,466,1244305502814769157
138,466,1244195042320945152
139,466,1243763454793535488
141,466,1243638008865124353
142,466,1243596491815636992
144,466,1243042255256145922
148,466,1242470846356238337
150,466,1241981415786516481
151,466,1241950553304756224
153,466,1241656276112867329
154,466,1241632024730849280
155,466,1241599781845286912
156,466,1241589754128302082
158,466,1241132868648218626
159,466,1241075751132246018
160,466,1240907847908687872
161,466,1240829680678326272
162,466,1240619483573694465
164,466,1240414007661596679
165,466,1240294555892592640
166,466,1240294171501608961
168,466,1240043403389341696
169,466,1239975067037175814
172,466,1239610454936301575
173,466,1239463586377818113
174,466,1239434658074542080
175,466,1239431037798756353
176,466,1239429210323726336
178,466,1239382049217073152
179,466,1239280486280597505
180,466,1239106689279770625
181,466,1239059710390800384
182,466,1239056549894594561
184,466,1239020249971920899
185,466,1238915766487068673
186,466,1238881692334600192
187,466,1238847279299092482
188,466,1238810261315780609
189,466,1238713278538215425
190,466,1238685579203596288
191,466,1238661279289491456
192,466,1238503531943878656
194,466,1238315203705462784
195,466,1238303129273339904
196,466,1238302655384092672
197,466,1238291863083286529
198,466,1238204845292732430
200,466,1238177226719461376
201,466,1238169318510166017
202,466,1238128308379844608
204,466,1238099015838896133
207,466,1237992340247187457
208,466,1237991034933710849
209,466,1237916879114481665
210,466,1237916775188058113
226,466,1237801778290331649
229,466,1237636040656994304
231,466,1237573150168121345
232,466,1237510349395349504
233,466,1237492826167902209
234,466,1237471214005870593
235,466,1237466260264366081
237,466,1237423917788266496
239,466,1237404192882544641
240,466,1237373193892950017
242,466,1237346048307273729
243,466,1237331747685249024
244,466,1237323788905144321
246,466,1237293134754668544
248,466,1237280934602432513
250,466,1237278867674431488
253,466,1237209412072169477
254,466,1237208993811984391
255,466,1237193383061397505
256,466,1237192322221211652
257,466,1237187214544699392
259,466,1237184520211718144
260,466,1237179642190192640
261,466,1237175980705251334
262,466,1237159696819093506
263,466,1237150131616530432
264,466,1237146684905455616
265,466,1237128879564865536
266,466,1237124388597555201
268,466,1237121805988646914
269,466,1237121679568130054
270,466,1237118603893170176
273,466,1237113177361522690
275,466,1237103312895344645
276,466,1237100621494394880
278,466,1237092799335600129
279,466,1237090861676191744
280,466,1237083756944592896
282,466,1237082188639883269
284,466,1237076362810269696
288,466,1237071027777212417
289,466,1237067488094896128
292,466,1237065323377025025
294,466,1237061163625648129
299,466,1237058615841783810
300,466,1237057071696281600
302,466,1237055513680064513
303,466,1237053699891093504
304,466,1237051288686415874
305,466,1237049763385802753
307,466,1237041198260338689
308,466,1237020600658427905
312,466,1236863560262639616
317,466,1236720112343924746
321,466,1236699054186188801
323,466,1236682245508907011
325,466,1236655183184134146
326,466,1236655127689388037
331,466,1236484018633191424
332,466,1236481351932575744
333,466,1236419875746254848
334,466,1236396219120877569
335,466,1236351215325364224
337,466,1236281542332178433
338,466,1236191250669281282
339,466,1236158607248560129
