,news_id,tweet_id,reply_id,tweet_detail,replies_detail
0,17,1255484783884369921,"[1254913226325872642, 1255484999203258370]","[datetime.date(2020, 4, 29), 1255484783884369921, 1239177524103561216]","[[datetime.date(2020, 4, 27), 1254913226325872642, 621573], [datetime.date(2020, 4, 29), 1255484999203258370, 1239177524103561216]]"
1,26,1247680031423254529,[1247689195486720000],"[datetime.date(2020, 4, 8), 1247680031423254529, 1141143759414947840]","[[datetime.date(2020, 4, 8), 1247689195486720000, 1141143759414947840]]"
2,26,1249534887691984897,"[1249540796308762626, 1249555510103289858, 1249556554073939969, 1249639179954409473, 1249535976843677698, 1249535999379673088, 1249920095050010625, 1249697278417403912, 1249800131643351041]","[datetime.date(2020, 4, 13), 1249534887691984897, 18266688]","[[datetime.date(2020, 4, 13), 1249535976843677698, 711549490134704128], [datetime.date(2020, 4, 13), 1249535999379673088, 1164159863016099840], [datetime.date(2020, 4, 13), 1249540796308762626, 815943549640384512], [datetime.date(2020, 4, 13), 1249555510103289858, 1226667042679316483], [datetime.date(2020, 4, 13), 1249556554073939969, 1242533977115721728], [datetime.date(2020, 4, 13), 1249639179954409473, 36220306], [datetime.date(2020, 4, 13), 1249697278417403912, 1244616775553159168], [datetime.date(2020, 4, 13), 1249800131643351041, 1172656880369524737], [datetime.date(2020, 4, 14), 1249920095050010625, 1935089503]]"
3,38,1249754108107485189,"[1249756159428431872, 1249758816582938629, 1249756036283731968, 1249756489046208512, 1249754970020360193, 1249755702303830016, 1249756158732013569]","[datetime.date(2020, 4, 13), 1249754108107485189, 55060090]","[[datetime.date(2020, 4, 13), 1249754970020360193, 521776435], [datetime.date(2020, 4, 13), 1249755702303830016, 43580685], [datetime.date(2020, 4, 13), 1249756036283731968, 868301143], [datetime.date(2020, 4, 13), 1249756158732013569, 849463518361473024], [datetime.date(2020, 4, 13), 1249756159428431872, 808041972040658945], [datetime.date(2020, 4, 13), 1249756489046208512, 759231474239467522], [datetime.date(2020, 4, 13), 1249758816582938629, 134991511]]"
4,38,1249766660916932614,"[1249768261161562112, 1249768226730450945]","[datetime.date(2020, 4, 13), 1249766660916932614, 35362949]","[[datetime.date(2020, 4, 13), 1249768226730450945, 1179857013033066496], [datetime.date(2020, 4, 13), 1249768261161562112, 855483400496570373]]"
5,38,1249792092030853120,[1249795734087413761],"[datetime.date(2020, 4, 13), 1249792092030853120, 462534375]","[[datetime.date(2020, 4, 13), 1249795734087413761, 1234232862334865409]]"
6,38,1249803379754369027,"[1249803818373529600, 1249806127740657670, 1249807470517682178]","[datetime.date(2020, 4, 13), 1249803379754369027, 138168339]","[[datetime.date(2020, 4, 13), 1249803818373529600, 2533084213], [datetime.date(2020, 4, 13), 1249806127740657670, 1228084136725958660], [datetime.date(2020, 4, 13), 1249807470517682178, 990269509]]"
7,38,1249835439927762945,[1249837641949904896],"[datetime.date(2020, 4, 13), 1249835439927762945, 799718923541291008]","[[datetime.date(2020, 4, 13), 1249837641949904896, 951074119067594757]]"
8,46,1249383177816117248,"[1249384864908038150, 1249391116224548865, 1249389597353824261, 1249396484140871681, 1249387834504392704]","[datetime.date(2020, 4, 12), 1249383177816117248, 831320691580497920]","[[datetime.date(2020, 4, 12), 1249384864908038150, 4573145187], [datetime.date(2020, 4, 12), 1249387834504392704, 1181890133420724224], [datetime.date(2020, 4, 12), 1249389597353824261, 1002961024063074304], [datetime.date(2020, 4, 12), 1249391116224548865, 790703425738665985], [datetime.date(2020, 4, 12), 1249396484140871681, 2853710671]]"
9,46,1249385096760745990,"[1249385431466196994, 1249389718392860672, 1249397235558703105, 1249397299907829762, 1249569163569479680, 1249719605624528899, 1249729021702627333, 1249401147359735808, 1249410748394045441, 1249426902294523904, 1249390745955565568, 1249410854430191616, 1249445113534832650, 1249702199913058305, 1249716606055452677]","[datetime.date(2020, 4, 12), 1249385096760745990, 21508174]","[[datetime.date(2020, 4, 12), 1249385431466196994, 720998401081532416], [datetime.date(2020, 4, 12), 1249389718392860672, 361356767], [datetime.date(2020, 4, 12), 1249390745955565568, 884714371], [datetime.date(2020, 4, 12), 1249397235558703105, 3082815384], [datetime.date(2020, 4, 12), 1249397299907829762, 430182899], [datetime.date(2020, 4, 12), 1249401147359735808, 1216472347399675904], [datetime.date(2020, 4, 12), 1249410748394045441, 732697757949919232], [datetime.date(2020, 4, 12), 1249410854430191616, 947675892427325440], [datetime.date(2020, 4, 12), 1249426902294523904, 1169018768267366400], [datetime.date(2020, 4, 12), 1249445113534832650, 1057920870230999040], [datetime.date(2020, 4, 13), 1249569163569479680, 1079580965050163201], [datetime.date(2020, 4, 13), 1249702199913058305, 959897688912343052], [datetime.date(2020, 4, 13), 1249716606055452677, 701514666732863488], [datetime.date(2020, 4, 13), 1249719605624528899, 958049139895558146], [datetime.date(2020, 4, 13), 1249729021702627333, 996793939037442048]]"
10,46,1249398900521226240,"[1249693764894982145, 1249493461767782400, 1249651751613071364, 1249752256586625024, 1249468275320393728, 1249483578444054529, 1249418426562592770, 1249457288978378752, 1249470541842399233, 1249458559080960000, 1249467214874292224, 1249467851603243008, 1249476223610257411, 1249490529253044224]","[datetime.date(2020, 4, 12), 1249398900521226240, 4240269017]","[[datetime.date(2020, 4, 12), 1249418426562592770, 940910671222501378], [datetime.date(2020, 4, 12), 1249457288978378752, 4010509940], [datetime.date(2020, 4, 12), 1249458559080960000, 1060930003595075585], [datetime.date(2020, 4, 12), 1249467214874292224, 987781550434500608], [datetime.date(2020, 4, 12), 1249467851603243008, 4018532174], [datetime.date(2020, 4, 12), 1249468275320393728, 1234727544932438017], [datetime.date(2020, 4, 12), 1249470541842399233, 4240269017], [datetime.date(2020, 4, 12), 1249476223610257411, 1113040141], [datetime.date(2020, 4, 12), 1249483578444054529, 1963703174], [datetime.date(2020, 4, 13), 1249490529253044224, 1226656919554752513], [datetime.date(2020, 4, 13), 1249493461767782400, 842883664035897344], [datetime.date(2020, 4, 13), 1249651751613071364, 719023092], [datetime.date(2020, 4, 13), 1249693764894982145, 1161374451688235008], [datetime.date(2020, 4, 13), 1249752256586625024, 880227077190017024]]"
11,46,1249405972860284935,"[1249470959255302144, 1249407627248926721, 1249407030378532866]","[datetime.date(2020, 4, 12), 1249405972860284935, 182362719]","[[datetime.date(2020, 4, 12), 1249407030378532866, 1236928684252172289], [datetime.date(2020, 4, 12), 1249407627248926721, 1076881191582793729], [datetime.date(2020, 4, 12), 1249470959255302144, 195068510]]"
12,46,1249406837193084932,[1249407917100421120],"[datetime.date(2020, 4, 12), 1249406837193084932, 892816234227609609]","[[datetime.date(2020, 4, 12), 1249407917100421120, 847500998]]"
13,46,1249407628842762242,[1249411041777287170],"[datetime.date(2020, 4, 12), 1249407628842762242, 2840188581]","[[datetime.date(2020, 4, 12), 1249411041777287170, 842124835245416452]]"
14,46,1249410546463539200,"[1249411287299342337, 1249411396925706241, 1249412219705663494, 1249414525289299969, 1249465375072423936, 1249435026950848514, 1249464564435095554]","[datetime.date(2020, 4, 12), 1249410546463539200, 526824449]","[[datetime.date(2020, 4, 12), 1249411287299342337, 786701463410073601], [datetime.date(2020, 4, 12), 1249411396925706241, 784229013011197952], [datetime.date(2020, 4, 12), 1249412219705663494, 526824449], [datetime.date(2020, 4, 12), 1249414525289299969, 1015389362513575936], [datetime.date(2020, 4, 12), 1249435026950848514, 941374314510716928], [datetime.date(2020, 4, 12), 1249464564435095554, 526824449], [datetime.date(2020, 4, 12), 1249465375072423936, 526824449]]"
15,46,1249411224737021955,[1249411974632521737],"[datetime.date(2020, 4, 12), 1249411224737021955, 1140038100913131520]","[[datetime.date(2020, 4, 12), 1249411974632521737, 432864059]]"
16,46,1249414352848986115,[1249415878178979841],"[datetime.date(2020, 4, 12), 1249414352848986115, 2616209796]","[[datetime.date(2020, 4, 12), 1249415878178979841, 2844478048]]"
17,46,1249420476662730752,[1249420559957364738],"[datetime.date(2020, 4, 12), 1249420476662730752, 952342464685223936]","[[datetime.date(2020, 4, 12), 1249420559957364738, 952342464685223936]]"
