date,Daily exo infected,Daily endo infected,Daily recovered,Daily exo recovered,Daily endo recovered,I_X,I_E,i_x,i_e,I_X_active,I_E_active,R,r,S,s,i,di_dt,dr_dt,dix_dt,die_dt,ds_dt,,,
3/4/2020,1,1,0,0,0,1,1,0.030303,0.030303,1,1,0,0,31,0.939394,0.060606,0.060606,0,0.030303,0.030303,0.030303,,,
3/5/2020,1,1,2,1,1,2,2,0.060606,0.060606,1,1,2,0.060606,29,0.878788,0.060606,0,0.060606,0,0,0.060606,,,
3/6/2020,1,1,2,1,1,3,3,0.090909,0.090909,1,1,4,0.121212,29,0.878788,0.060606,0,0.060606,0,0,0,,,
3/7/2020,0,0,2,1,1,3,3,0.090909,0.090909,0,0,6,0.181818,31,0.939394,0,0.060606,0.060606,0.030303,0.030303,0.060606,,,
3/8/2020,0,0,0,0,0,3,3,0.090909,0.090909,0,0,6,0.181818,33,1,0,0,0,0,0,0.060606,,,
3/9/2020,1,2,0,0,0,4,5,0.121212,0.151515,1,2,6,0.181818,30,0.909091,0.090909,0.090909,0,0.030303,0.060606,0.090909,,,
3/10/2020,1,1,3,1,2,5,6,0.151515,0.181818,1,1,9,0.272727,28,0.848485,0.060606,0.030303,0.090909,0,0.030303,0.060606,,,
3/11/2020,0,0,2,1,1,5,6,0.151515,0.181818,0,0,11,0.333333,31,0.939394,0,0.060606,0.060606,0.030303,0.030303,0.090909,,,
3/12/2020,1,2,0,0,0,6,8,0.181818,0.242424,1,2,11,0.333333,30,0.909091,0.090909,0.090909,0,0.030303,0.060606,0.030303,,,
3/13/2020,1,1,3,1,2,7,9,0.212121,0.272727,1,1,14,0.424242,28,0.848485,0.060606,0.030303,0.090909,0,0.030303,0.060606,,,
3/14/2020,1,1,2,1,1,8,10,0.242424,0.30303,1,1,16,0.484848,29,0.878788,0.060606,0,0.060606,0,0,0.030303,,,
3/15/2020,1,4,2,1,1,9,14,0.272727,0.424242,1,4,18,0.545455,26,0.787879,0.151515,0.090909,0.060606,0,0.090909,0.090909,,,
3/16/2020,1,8,5,1,4,10,22,0.30303,0.666667,1,8,23,0.69697,19,0.575758,0.272727,0.121212,0.151515,0,0.121212,0.212121,,,
3/17/2020,1,0,9,1,8,11,22,0.333333,0.666667,1,0,32,0.969697,23,0.69697,0.030303,0.242424,0.272727,0,0.242424,0.121212,,,
3/18/2020,0,2,1,1,0,11,24,0.333333,0.727273,0,2,33,1,30,0.909091,0.060606,0.030303,0.030303,0.030303,0.060606,0.212121,,,
3/19/2020,0,1,2,0,2,11,25,0.333333,0.757576,0,1,35,1.060606,30,0.909091,0.030303,0.030303,0.060606,0,0.030303,0,,,
3/20/2020,0,0,1,0,1,11,25,0.333333,0.757576,0,0,36,1.090909,32,0.969697,0,0.030303,0.030303,0,0.030303,0.060606,,,
3/21/2020,0,0,0,0,0,11,25,0.333333,0.757576,0,0,36,1.090909,33,1,0,0,0,0,0,0.030303,,,
3/22/2020,0,0,0,0,0,11,25,0.333333,0.757576,0,0,36,1.090909,33,1,0,0,0,0,0,0,,,
3/23/2020,0,0,0,0,0,11,25,0.333333,0.757576,0,0,36,1.090909,33,1,0,0,0,0,0,0,,,
3/24/2020,0,0,0,0,0,11,25,0.333333,0.757576,0,0,36,1.090909,33,1,0,0,0,0,0,0,,,
3/25/2020,0,0,0,0,0,11,25,0.333333,0.757576,0,0,36,1.090909,33,1,0,0,0,0,0,0,,,
3/26/2020,1,14,0,0,0,12,39,0.363636,1.181818,1,14,36,1.090909,18,0.545455,0.454545,0.454545,0,0.030303,0.424242,0.454545,,,
3/27/2020,0,0,15,1,14,12,39,0.363636,1.181818,0,0,51,1.545455,18,0.545455,0,0.454545,0.454545,0.030303,0.424242,0,,,
3/28/2020,0,0,0,0,0,12,39,0.363636,1.181818,0,0,51,1.545455,33,1,0,0,0,0,0,0.454545,,,
3/29/2020,2,3,0,0,0,14,42,0.424242,1.272727,2,3,51,1.545455,28,0.848485,0.151515,0.151515,0,0.060606,0.090909,0.151515,,,
3/30/2020,0,0,5,2,3,14,42,0.424242,1.272727,0,0,56,1.69697,28,0.848485,0,0.151515,0.151515,0.060606,0.090909,0,,,
3/31/2020,0,0,0,0,0,14,42,0.424242,1.272727,0,0,56,1.69697,33,1,0,0,0,0,0,0.151515,,,
4/1/2020,0,1,0,0,0,14,43,0.424242,1.30303,0,1,56,1.69697,32,0.969697,0.030303,0.030303,0,0,0.030303,0.030303,,,
4/2/2020,0,0,1,0,1,14,43,0.424242,1.30303,0,0,57,1.727273,32,0.969697,0,0.030303,0.030303,0,0.030303,0,,,
4/3/2020,0,0,0,0,0,14,43,0.424242,1.30303,0,0,57,1.727273,33,1,0,0,0,0,0,0.030303,,,
4/4/2020,0,0,0,0,0,14,43,0.424242,1.30303,0,0,57,1.727273,33,1,0,0,0,0,0,0,,,
4/5/2020,0,0,0,0,0,14,43,0.424242,1.30303,0,0,57,1.727273,33,1,0,0,0,0,0,0,,,
4/6/2020,0,2,0,0,0,14,45,0.424242,1.363636,0,2,57,1.727273,31,0.939394,0.060606,0.060606,0,0,0.060606,0.060606,,,
4/7/2020,2,1,2,0,2,16,46,0.484848,1.393939,2,1,59,1.787879,28,0.848485,0.090909,0.030303,0.060606,0.060606,0.030303,0.090909,,,
4/8/2020,0,0,3,2,1,16,46,0.484848,1.393939,0,0,62,1.878788,30,0.909091,0,0.090909,0.090909,0.060606,0.030303,0.060606,,,
4/9/2020,0,0,0,0,0,16,46,0.484848,1.393939,0,0,62,1.878788,33,1,0,0,0,0,0,0.090909,,,
4/10/2020,0,0,0,0,0,16,46,0.484848,1.393939,0,0,62,1.878788,33,1,0,0,0,0,0,0,,,
4/11/2020,0,0,0,0,0,16,46,0.484848,1.393939,0,0,62,1.878788,33,1,0,0,0,0,0,0,,,
4/12/2020,0,0,0,0,0,16,46,0.484848,1.393939,0,0,62,1.878788,33,1,0,0,0,0,0,0,,,
4/13/2020,0,0,0,0,0,16,46,0.484848,1.393939,0,0,62,1.878788,33,1,0,0,0,0,0,0,,,
4/14/2020,0,0,0,0,0,16,46,0.484848,1.393939,0,0,62,1.878788,33,1,0,0,0,0,0,0,,,
4/15/2020,0,0,0,0,0,16,46,0.484848,1.393939,0,0,62,1.878788,33,1,0,0,0,0,0,0,,,
